Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_162822/scenario_7_UploadStress.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_162822/scenario_7_UploadStress.mi2log

  [5.1s] 25448 bytes, 163 packets decoded
  [5.1s] 25512 bytes, 163 packets decoded
  [5.1s] 25576 bytes, 163 packets decoded
  [5.1s] 25640 bytes, 163 packets decoded
  [5.1s] 25704 bytes, 164 packets decoded
  [5.1s] 25768 bytes, 165 packets decoded
  [5.1s] 25832 bytes, 166 packets decoded
  [5.1s] 25896 bytes, 166 packets decoded
  [5.1s] 25960 bytes, 167 packets decoded
  [5.1s] 26024 bytes, 167 packets decoded
  [5.1s] 26088 bytes, 168 packets decoded
  [5.1s] 26152 bytes, 168 packets decoded
  [5.1s] 26216 bytes, 168 packets decoded
  [5.1s] 26280 bytes, 168 packets decoded
  [5.1s] 26344 bytes, 169 packets decoded
  [5.1s] 26408 bytes, 169 packets decoded
  [5.1s] 26472 bytes, 170 packets decoded
  [5.1s] 26536 bytes, 171 packets decoded
  [5.1s] 26600 bytes, 171 packets decoded
  [5.1s] 26664 bytes, 171 packets decoded
  [5.1s] 26728 bytes, 172 packets decoded
  [5.1s] 26792 bytes, 172 packets decoded
  [5.1s] 26856 bytes, 172 packets decoded
  [5.1s] 26920 bytes, 172 packets decoded
  [5.1s] 26984 bytes, 172 packets decoded
  [5.1s] 27048 bytes, 173 packets decoded
  [5.1s] 27112 bytes, 173 packets decoded
  [5.1s] 27176 bytes, 174 packets decoded
  [5.1s] 27240 bytes, 174 packets decoded
  [5.1s] 27304 bytes, 174 packets decoded
  [5.1s] 27368 bytes, 175 packets decoded
  [5.1s] 27432 bytes, 175 packets decoded
  [5.1s] 27496 bytes, 176 packets decoded
  [5.1s] 27560 bytes, 176 packets decoded
  [5.1s] 27624 bytes, 177 packets decoded
  [5.1s] 27688 bytes, 178 packets decoded
  [5.1s] 27752 bytes, 179 packets decoded
  [5.1s] 27816 bytes, 179 packets decoded
  [5.1s] 27880 bytes, 180 packets decoded
  [5.1s] 27944 bytes, 181 packets decoded
  [5.1s] 28008 bytes, 181 packets decoded
  [5.1s] 28072 bytes, 182 packets decoded
  [5.1s] 28136 bytes, 182 packets decoded
  [5.1s] 28200 bytes, 183 packets decoded
  [5.1s] 28264 bytes, 183 packets decoded
  [5.1s] 28328 bytes, 184 packets decoded
  [5.1s] 28392 bytes, 184 packets decoded
  [5.1s] 28456 bytes, 185 packets decoded
  [5.1s] 28520 bytes, 186 packets decoded
  [5.1s] 28584 bytes, 186 packets decoded
  [5.1s] 28648 bytes, 187 packets decoded
  [5.1s] 28712 bytes, 187 packets decoded
  [5.1s] 28776 bytes, 188 packets decoded
  [5.1s] 28840 bytes, 189 packets decoded
  [5.1s] 28904 bytes, 190 packets decoded
  [5.1s] 28968 bytes, 190 packets decoded
  [5.1s] 29032 bytes, 191 packets decoded
  [5.1s] 29096 bytes, 191 packets decoded
  [5.1s] 29160 bytes, 192 packets decoded
  [5.1s] 29224 bytes, 192 packets decoded
  [5.1s] 29288 bytes, 193 packets decoded
  [5.1s] 29352 bytes, 194 packets decoded
  [5.1s] 29416 bytes, 195 packets decoded
  [5.1s] 29480 bytes, 196 packets decoded
  [5.1s] 29544 bytes, 197 packets decoded
  [5.1s] 29608 bytes, 198 packets decoded
  [5.1s] 29672 bytes, 199 packets decoded
  [5.1s] 29736 bytes, 200 packets decoded
  [5.1s] 29800 bytes, 200 packets decoded
  [5.1s] 29864 bytes, 200 packets decoded
  [5.1s] 29928 bytes, 200 packets decoded
  [5.1s] 29992 bytes, 200 packets decoded
  [5.1s] 30056 bytes, 200 packets decoded
  [5.1s] 30120 bytes, 200 packets decoded
  [5.1s] 30184 bytes, 200 packets decoded
  [5.1s] 30248 bytes, 201 packets decoded
  [5.1s] 30312 bytes, 202 packets decoded
  [5.1s] 30376 bytes, 203 packets decoded
  [5.1s] 30440 bytes, 203 packets decoded
  [5.1s] 30504 bytes, 203 packets decoded
  [5.1s] 30568 bytes, 203 packets decoded
  [5.1s] 30632 bytes, 204 packets decoded
  [5.1s] 30696 bytes, 204 packets decoded
  [5.1s] 30760 bytes, 205 packets decoded
  [5.1s] 30824 bytes, 206 packets decoded
