Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_162509/scenario_1_Browsing.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_162509/scenario_1_Browsing.mi2log

  [4.5s] 33065 bytes, 181 packets decoded
  [4.5s] 33129 bytes, 181 packets decoded
  [4.5s] 33193 bytes, 181 packets decoded
  [4.5s] 33257 bytes, 182 packets decoded
  [4.5s] 33321 bytes, 182 packets decoded
  [4.5s] 33385 bytes, 182 packets decoded
  [4.5s] 33449 bytes, 182 packets decoded
  [4.5s] 33513 bytes, 182 packets decoded
  [4.5s] 33577 bytes, 182 packets decoded
  [4.5s] 33641 bytes, 182 packets decoded
  [4.5s] 33705 bytes, 183 packets decoded
  [4.6s] 33767 bytes, 184 packets decoded
  [4.6s] 33831 bytes, 184 packets decoded
  [4.6s] 33895 bytes, 184 packets decoded
  [4.6s] 33959 bytes, 184 packets decoded
  [4.6s] 34023 bytes, 185 packets decoded
  [4.6s] 34087 bytes, 185 packets decoded
  [4.6s] 34151 bytes, 185 packets decoded
  [4.6s] 34215 bytes, 185 packets decoded
  [4.6s] 34279 bytes, 185 packets decoded
  [4.6s] 34343 bytes, 185 packets decoded
  [4.6s] 34407 bytes, 186 packets decoded
  [4.6s] 34471 bytes, 186 packets decoded
  [4.6s] 34535 bytes, 186 packets decoded
  [4.6s] 34599 bytes, 186 packets decoded
  [4.6s] 34663 bytes, 186 packets decoded
  [4.6s] 34727 bytes, 186 packets decoded
  [4.6s] 34791 bytes, 186 packets decoded
  [4.7s] 34793 bytes, 187 packets decoded
  [4.9s] 34857 bytes, 187 packets decoded
