PING 8.8.8.8 (8.8.8.8) 1400(1428) bytes of data.
1408 bytes from 8.8.8.8: icmp_seq=181 ttl=116 time=31.0 ms
1408 bytes from 8.8.8.8: icmp_seq=182 ttl=116 time=35.2 ms
1408 bytes from 8.8.8.8: icmp_seq=183 ttl=116 time=27.9 ms
1408 bytes from 8.8.8.8: icmp_seq=184 ttl=116 time=32.0 ms
1408 bytes from 8.8.8.8: icmp_seq=185 ttl=116 time=34.2 ms
1408 bytes from 8.8.8.8: icmp_seq=186 ttl=116 time=41.9 ms
1408 bytes from 8.8.8.8: icmp_seq=187 ttl=116 time=28.2 ms
1408 bytes from 8.8.8.8: icmp_seq=188 ttl=116 time=27.2 ms
1408 bytes from 8.8.8.8: icmp_seq=189 ttl=116 time=25.9 ms
1408 bytes from 8.8.8.8: icmp_seq=190 ttl=116 time=32.0 ms
1408 bytes from 8.8.8.8: icmp_seq=191 ttl=116 time=35.2 ms
1408 bytes from 8.8.8.8: icmp_seq=192 ttl=116 time=34.3 ms
1408 bytes from 8.8.8.8: icmp_seq=193 ttl=116 time=42.9 ms
1408 bytes from 8.8.8.8: icmp_seq=194 ttl=116 time=29.0 ms
1408 bytes from 8.8.8.8: icmp_seq=195 ttl=116 time=29.0 ms
1408 bytes from 8.8.8.8: icmp_seq=196 ttl=116 time=28.3 ms
1408 bytes from 8.8.8.8: icmp_seq=197 ttl=116 time=25.8 ms
1408 bytes from 8.8.8.8: icmp_seq=198 ttl=116 time=47.2 ms
1408 bytes from 8.8.8.8: icmp_seq=199 ttl=116 time=41.0 ms
1408 bytes from 8.8.8.8: icmp_seq=200 ttl=116 time=29.0 ms
1408 bytes from 8.8.8.8: icmp_seq=201 ttl=116 time=27.1 ms
1408 bytes from 8.8.8.8: icmp_seq=202 ttl=116 time=26.7 ms
1408 bytes from 8.8.8.8: icmp_seq=203 ttl=116 time=32.6 ms
1408 bytes from 8.8.8.8: icmp_seq=204 ttl=116 time=25.1 ms
1408 bytes from 8.8.8.8: icmp_seq=205 ttl=116 time=30.9 ms
1408 bytes from 8.8.8.8: icmp_seq=206 ttl=116 time=30.9 ms
1408 bytes from 8.8.8.8: icmp_seq=207 ttl=116 time=27.3 ms
1408 bytes from 8.8.8.8: icmp_seq=208 ttl=116 time=45.2 ms
