Opening /dev/ttyUSB0 at 115200 baud...
Disabling existing logs via dm_collector_c...
Enabling 13 log types via dm_collector_c...

Capturing for 99999 seconds...
Raw output:   /home/venu/Desktop/ueautomation/logs/20260406_163551/scenario_1_Browsing.bin
MI2LOG output: /home/venu/Desktop/ueautomation/logs/20260406_163551/scenario_1_Browsing.mi2log

  [5.3s] 31191 bytes, 182 packets decoded
  [5.3s] 31255 bytes, 183 packets decoded
  [5.3s] 31319 bytes, 183 packets decoded
  [5.3s] 31383 bytes, 183 packets decoded
  [5.3s] 31447 bytes, 184 packets decoded
  [5.3s] 31511 bytes, 184 packets decoded
  [5.3s] 31575 bytes, 184 packets decoded
  [5.3s] 31639 bytes, 185 packets decoded
  [5.3s] 31703 bytes, 185 packets decoded
  [5.3s] 31767 bytes, 186 packets decoded
  [5.3s] 31831 bytes, 186 packets decoded
  [5.3s] 31895 bytes, 186 packets decoded
  [5.3s] 31959 bytes, 187 packets decoded
  [5.3s] 32023 bytes, 187 packets decoded
  [5.3s] 32087 bytes, 187 packets decoded
  [5.3s] 32151 bytes, 187 packets decoded
  [5.3s] 32215 bytes, 187 packets decoded
  [5.3s] 32279 bytes, 188 packets decoded
  [5.3s] 32343 bytes, 188 packets decoded
  [5.3s] 32407 bytes, 188 packets decoded
  [5.3s] 32471 bytes, 188 packets decoded
  [5.3s] 32535 bytes, 188 packets decoded
  [5.3s] 32599 bytes, 188 packets decoded
  [5.3s] 32663 bytes, 188 packets decoded
  [5.3s] 32727 bytes, 188 packets decoded
  [5.3s] 32791 bytes, 188 packets decoded
  [5.3s] 32855 bytes, 188 packets decoded
  [5.3s] 32919 bytes, 188 packets decoded
  [5.3s] 32983 bytes, 188 packets decoded
  [5.3s] 33047 bytes, 188 packets decoded
  [5.3s] 33111 bytes, 188 packets decoded
  [5.3s] 33175 bytes, 188 packets decoded
  [5.3s] 33239 bytes, 188 packets decoded
  [5.3s] 33303 bytes, 189 packets decoded
  [5.3s] 33367 bytes, 189 packets decoded
  [5.3s] 33431 bytes, 189 packets decoded
  [5.3s] 33495 bytes, 190 packets decoded
  [5.3s] 33559 bytes, 190 packets decoded
  [5.3s] 33623 bytes, 190 packets decoded
  [5.3s] 33687 bytes, 191 packets decoded
  [5.3s] 33751 bytes, 191 packets decoded
  [5.3s] 33815 bytes, 191 packets decoded
  [5.3s] 33879 bytes, 191 packets decoded
  [5.3s] 33943 bytes, 192 packets decoded
  [5.3s] 34007 bytes, 192 packets decoded
  [5.3s] 34071 bytes, 192 packets decoded
  [5.3s] 34135 bytes, 193 packets decoded
  [5.3s] 34199 bytes, 194 packets decoded
  [5.3s] 34263 bytes, 194 packets decoded
  [5.3s] 34327 bytes, 195 packets decoded
  [5.3s] 34391 bytes, 196 packets decoded
  [5.3s] 34455 bytes, 196 packets decoded
  [5.3s] 34519 bytes, 197 packets decoded
  [5.3s] 34583 bytes, 197 packets decoded
  [5.3s] 34647 bytes, 197 packets decoded
  [5.3s] 34711 bytes, 197 packets decoded
  [5.3s] 34775 bytes, 198 packets decoded
  [5.3s] 34839 bytes, 198 packets decoded
